stop_id,stop_name,stop_lat,stop_lon,stop_desc,zone_id,parent_station,wheelchair_boarding,platform_code
de:11000:900192001:2:52,S Schöneweide Bhf (Berlin),52.454742,13.509730,S-Bahnsteig Gleis 3,5656 S Schöneweide Bhf (Berlin),de:11000:900192001,,
de:11000:900192001:3:55,S Schöneweide Bhf (Berlin),52.454912,13.510019,S-Bahnsteig Gleis 6,5656 S Schöneweide Bhf (Berlin),de:11000:900192001,,
de:11000:900192002:1:50,S Oberspree (Berlin),52.452447,13.538028,S-Bahnsteig Gleis 1,5656 S Oberspree (Berlin),de:11000:900192002,,1
de:11000:900192506::1,Brückenstr. (Berlin),52.457618,13.511041,Tram- u. Bushalt Brückenstraße Höhe Hausnummer 26,5656 Brückenstr. (Berlin),,,
de:11000:900192506::2,Brückenstr. (Berlin),52.458648,13.512175,Tram- u. Bushalt Brückenstraße vor Spreestraße,5656 Brückenstr. (Berlin),,,
de:11000:900193001:1:50,S Johannisthal (Berlin),52.446620,13.524071,S-Bahnsteig Gleis 3,5656 S Johannisthal (Berlin),de:11000:900193001,,3
de:11000:900193001:2:51,S Johannisthal (Berlin),52.446662,13.524141,S-Bahnsteig Gleis 4,5656 S Johannisthal (Berlin),de:11000:900193001,,4
de:11000:900193002:1:50,S Adlershof (Berlin),52.434867,13.541224,S-Bahnsteig Gleis 3,5656 S Adlershof (Berlin),de:11000:900193002,,3
de:11000:900193002:1:51,S Adlershof (Berlin),52.434946,13.541382,S-Bahnsteig Gleis 4,5656 S Adlershof (Berlin),de:11000:900193002,,4
de:11000:900193701::1,S Adlershof (Berlin),52.434178,13.541239,Tramhalt vor Rudower Chaussee Endstelle Pos. 5,5656 S Adlershof (Berlin),de:11000:900193002,,
de:11000:900193701::2,S Adlershof (Berlin),52.434161,13.541199,Tramhalt ht. Rudower Chaussee Endstelle Pos. 6,5656 S Adlershof (Berlin),de:11000:900193002,,
de:11000:900194006::10,S Schöneweide/Sterndamm (Berlin),52.454053,13.510493,Tramhalt Sterndamm unter der Bahnbrücke,5656 S Schöneweide/Sterndamm (Berlin),,,
de:11000:900194006::13,S Schöneweide/Sterndamm (Berlin),52.453028,13.509261,Tramsteig Sterndamm ht. Südostallee,5656 S Schöneweide/Sterndamm (Berlin),de:11000:900194006,,
de:11000:900194010::3,Gerhard-Sedlmayr-Str. (Berlin),52.439875,13.523955,Tramsteig Groß-B. Damm vor Gerhard-Sedlmayr-Str.,5656 Gerhard-Sedlmayr-Str. (Berlin),de:11000:900194010,,
de:11000:900194010::4,Gerhard-Sedlmayr-Str. (Berlin),52.439896,13.523990,Tramsteig Groß-B. Damm ht. Gerhard-Sedlmayr-Str.,5656 Gerhard-Sedlmayr-Str. (Berlin),de:11000:900194010,,
de:11000:900194011::3,Nieberstr. (Berlin),52.449164,13.511614,Tramsteig Groß-Berliner Damm ht. Nieberstraße,5656 Nieberstr. (Berlin),de:11000:900194011,,
de:11000:900194011::4,Nieberstr. (Berlin),52.449146,13.511559,Tramsteig Groß-Berliner Damm vor Nieberstraße,5656 Nieberstr. (Berlin),de:11000:900194011,,
de:11000:900194016::4,Karl-Ziegler-Str. (Berlin),52.432642,13.526385,Tramsteig Karl-Ziegler-Str. ht. Abram-Joffe-Str.,5656 Karl-Ziegler-Str. (Berlin),,,
de:11000:900194016::5,Karl-Ziegler-Str. (Berlin),52.432565,13.526251,Tramsteig Karl-Ziegler-Str. vor Johann-Hittorf-Str,5656 Karl-Ziegler-Str. (Berlin),,,
de:11000:900194501::3,Magnusstr. (Berlin),52.429837,13.530362,Tramsteig Rudower Chausee vor Max-Born-Straße,5656 Magnusstr. (Berlin),de:11000:900194501,,
de:11000:900194501::4,Magnusstr. (Berlin),52.429810,13.530390,Tramsteig Rudower Chaussee vor Magnusstr.,5656 Magnusstr. (Berlin),de:11000:900194501,,
de:11000:900194504::3,Walther-Nernst-Str. (Berlin),52.432027,13.534799,Tramsteig Rudower Chaussee hinter Groß-Berliner Damm,5656 Walther-Nernst-Str. (Berlin),de:11000:900194504,,
de:11000:900194504::4,Walther-Nernst-Str. (Berlin),52.432000,13.534826,Tramsteig Rudower Chaussee vor Groß-Berliner Damm,5656 Walther-Nernst-Str. (Berlin),de:11000:900194504,,
de:11000:900194514::3,Benno-König-Str. (Berlin),52.442921,13.519470,Tramsteig Groß-B. Damm ht. Gerhard-Sedlmayr-Straße,5656 Benno-König-Str. (Berlin),de:11000:900194514,,
de:11000:900194514::4,Benno-König-Str. (Berlin),52.442940,13.519505,Tramsteig Groß-B. Damm vor Benno-König-Straße,5656 Benno-König-Str. (Berlin),de:11000:900194514,,
de:11000:900194517::3,Landfliegerstr. (Berlin),52.446102,13.514923,Tramsteig Groß-Berliner Damm vor Landfliegerstraße,5656 Landfliegerstr. (Berlin),de:11000:900194517,,
de:11000:900194517::4,Landfliegerstr. (Berlin),52.446087,13.514893,Tramsteig Groß-Berliner Damm ht. Segelfliegerdamm,5656 Landfliegerstr. (Berlin),de:11000:900194517,,
de:11000:900194537::3,Landschaftspark Johannisthal (Berlin),52.437196,13.526353,Tramsteig Hermann-Dorner-Allee vor Groß-B. Damm,5656 Landschaftspark Johannisthal (Berlin),de:11000:900194537,,
de:11000:900194537::4,Landschaftspark Johannisthal (Berlin),52.437214,13.526331,Tramsteig Hermann-Dorner-Allee ht. Groß-B. Damm,5656 Landschaftspark Johannisthal (Berlin),de:11000:900194537,,
de:11000:900195510:1:50,S Altglienicke (Berlin),52.407309,13.558877,S-Bahnsteig Gleis 2,5656 S Altglienicke (Berlin),de:11000:900195510,,2
de:11000:900195510:1:51,S Altglienicke (Berlin),52.407359,13.558798,S-Bahnsteig Gleis 1,5656 S Altglienicke (Berlin),de:11000:900195510,,1
de:11000:900196001:1:50,S Grünbergallee (Berlin),52.399343,13.541956,S-Bahnsteig Gleis 1,5656 S Grünbergallee (Berlin),de:11000:900196001,,1
de:11000:900196001:1:51,S Grünbergallee (Berlin),52.399271,13.541989,S-Bahnsteig Gleis 2,5656 S Grünbergallee (Berlin),de:11000:900196001,,2
de:12054:900230000:1:50,S Babelsberg,52.391427,13.092776,S-Bahnsteig Gleis 1,5851 S Babelsberg,de:12054:900230000,1,1
de:12054:900230000:1:51,S Babelsberg,52.391343,13.092809,S-Bahnsteig Gleis 2,5851 S Babelsberg,de:12054:900230000,1,2
de:12054:900230003:1:50,S Griebnitzsee Bhf,52.394529,13.127597,S-Bahnsteig Gleis 1,5851 S Griebnitzsee Bhf,de:12054:900230003,1,1
de:12054:900230003:1:54,S Griebnitzsee Bhf,52.394436,13.127622,S-Bahnsteig Gleis 2,5851 S Griebnitzsee Bhf,de:12054:900230003,1,2
de:12054:900230999:3:54,S Potsdam Hauptbahnhof,52.391764,13.066755,S-Bahnsteig Gleis 6,5750 S Potsdam Hauptbahnhof,de:12054:900230999,1,6
de:12054:900230999:3:55,S Potsdam Hauptbahnhof,52.391851,13.066763,S-Bahnsteig Gleis 7,5750 S Potsdam Hauptbahnhof,de:12054:900230999,,7
de:12060:900350160:1:50,S Bernau Bhf,52.675595,13.591672,S-Bahnsteig Gleis 1,5158 S Bernau Bhf,de:12060:900350160,1,
de:12060:900350160:1:51,S Bernau Bhf,52.675500,13.591803,S-Bahnsteig Gleis 2,5158 S Bernau Bhf,de:12060:900350160,,
de:12060:900350161:1:50,S Bernau-Friedenstal,52.668470,13.564998,S-Bahnsteig Gleis 1,5158 S Bernau-Friedenstal,de:12060:900350161,1,
de:12060:900350162:1:50,S Röntgental,52.648633,13.513405,Bahnsteig Gleis 1,5257 S Röntgental,de:12060:900350162,1,
de:12060:900350163:1:50,S Zepernick,52.659860,13.534081,Bahnsteig Gleis 1,5257 S Zepernick,de:12060:900350163,,1
de:12060:900350163:1:51,S Zepernick,52.659797,13.534196,Bahnsteig Gleis 2,5257 S Zepernick,de:12060:900350163,1,2
de:12061:900260001:2:52,S Königs Wusterhausen Bhf,52.296642,13.631479,Bahnsteig Gleis 2,6059 S Königs Wusterhausen Bhf,de:12061:900260001,1,2
de:12061:900260002:1:50,S Wildau,52.319318,13.633774,Bahnsteig Gleis 3,5959 S Wildau,de:12061:900260002,1,3
de:12061:900260002:1:51,S Wildau,52.319311,13.633840,Bahnsteig Gleis 4,5959 S Wildau,de:12061:900260002,1,4
de:12061:900260003:1:50,S Zeuthen,52.348641,13.627388,S-Bahnsteig Gleis 3,5959 S Zeuthen,de:12061:900260003,,3
de:12061:900260003:1:51,S Zeuthen,52.348686,13.627554,S-Bahnsteig Gleis 4,5959 S Zeuthen,de:12061:900260003,,4
de:12061:900260004:1:50,S Eichwalde,52.371240,13.615279,Bahnsteig Gleis 3,5859 S Eichwalde,de:12061:900260004,1,3
